2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@2df6226d
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2df6226d
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@50468873
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@50468873
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@5629510
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5629510
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@130dca52
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@130dca52
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@115667d
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@115667d
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6bbe2511
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6bbe2511
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7a1a3478
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7a1a3478
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@25bfcafd
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@25bfcafd
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@623e088f
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@623e088f
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@79351f41
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@79351f41
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@53bd8fca
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@53bd8fca
